entry,attribution
AFTERCAST,Gower
AFTERCLAP,Spenser
AFTERCROP,Mortimer
AFTERGAME,Wotton
AFTERGUARD,Totten
AFTERMATH,Holland
AFTER-SAILS,Totten
AFTER-WITTED,Tyndale
AGAIN; AGAINS,Chaucer
AGAINST,Tyndale
AGAINST,Fielding
AGAINST,Tyndale
AGAMIST,Foxe
AGAMOGENETIC,Huxley
AGAPE,Milton
AGASP,Coleridge
AGAST; AGHAST,Spenser
AGATIFEROUS,Craig
AGATIZE,Dana
AGAZED,Shak
AGE,Shak
AGE,Abbott
AGE,Abbott
AGE,Milton
AGE,Dana
AGE,Hallam
AGE,Newman
AGE,Sprague
AGE,Landor
AGEDNESS,Milton
AGENT,Dryden
AGENTIAL,Hall
AGGENERATION,Stanley
AGGEST,Fuller
AGGLOMERATE,Cowper
AGGLOMERATION,Warton
AGGLOMERATIVE,Coleridge
AGGLUTINATIVE,Morris
AGGLUTINATIVE,Morris
AGGRANDIZE,Prescott
AGGRANDIZE,Lamb
AGGRANDIZE,Hall
AGGRATE,Spenser
AGGRAVATE,Prescott
AGGRAVATE,Addison
AGGRAVATE,Paley
AGGRAVATING,Ingelow
AGGRAVATION,Addison
AGGRAVATIVE,Macaulay
AGGREGATE,Browne
AGGRESS,Hale
AGGRESSOR,Ames
AGGRIEVE,Macaulay
AGGROUP,Dryden
AGHAST,Dryden
AGHAST,Macaulay
AGIBLE,Sherley
AGILE,Cowper
AGILITY,Bacon
AGILITY,Scott
AGILITY,Holland
AGIOTAGE,Landor
AGIST,Blackstone
AGITATE,Johnson
AGITATE,Boyle
AGITATION,Swift
AGITATOR,Clarendon
AGLEAM,Lowell
AGLET; AIGLET,Beck
AGLIMMER,Hawthorne
AGNATE,Landor
AGNATION,Bouvier
AGNIZE,Shak
AGNUS CASTUS,Loudon
AGNUS CASTUS,Dryden
AGOG,Cowper
AGONISTIC; AGONISTICAL,De Quincey
AGONIZE,Pope
AGONIZE,Thackeray
AGONY,Macaulay
AGONY,Pope
AGRAFFE,Scott
AGRAPPES,Fairholt
AGRARIAN,Burke
AGRARIAN,Harrington
AGREE,Shak
AGREE,Browne
AGREE,Berners
AGREEABILITY,Thackeray
AGREEABLE,Goldsmith
AGREEABLE,Latimer
AGREEABLENESS,Pope
AGREEABLENESS,Pearce
AGREEABLY,Paley
AGREEABLY,Spenser
AGREEMENT,Locke
AGRICOLIST,Dodsley
AGRICULTURIST,Crabb
AGRISE,Spenser
AGROPE,Browning
AGROUND,Totten
AGUE,Plowman
AGUE,Shak
AGUE,Gay
AGUE,Heywood
AGUISE,More
AGUISE,Spenser
AGUISH,Granville
AGUSH,Hawthorne
AHA,Mason
AHEAD,Fielding
AHEAP,Hood
AHORSEBACK,Smollet
